HYDRO_PROJECTS	proj_hydro_efficiency	hidraulic_location
rucue	1.33	rucue_quilleco
ralco	1.55	ralco
central_isla	0.81	isla_curillinque_loma_alta
pehuenche	1.666667	pehuenche
canutillar	1.92	canutillar
rapel	0.674	rapel
ojos_de_agua	0.676691729	ojos_de_agua
pangue	0.8851	pangue
machicura	0.321428571	machicura_san_ignacio
san_ignacio	0.191	machicura_san_ignacio
central_quilleco	0.55	rucue_quilleco
loma_alta	0.452	isla_curillinque_loma_alta
el_toro	4.74	el_toro
cipreses	2.7857	cipreses
antuco	1.63	antuco
curillinque	1.012	isla_curillinque_loma_alta
central_abanico	1.27	abanico
colbun	1.4286	colbun
